label,ID,中成药名,汉语拼音,成份,功能主治,所属类别,有效期,批准文号,孕妇及哺乳期妇女用药,贮藏,委托方企业,不良反应,用法用量,禁忌,包装,儿童用药,药物过量,规格,执行标准,临床试验,药物相互作用,注意事项,生产地址,警示语,生产企业,老年患者用药
medicine,62,柏芪降糖胶囊,BoQiJiangTangJiaoNang,侧柏叶、黄芪、枸杞子、乌梅。,益气养阴，清热生津。用于阴虚燥热证糖尿病的辅助治疗，可改善口渴思饮，多食善饥，心烦易怒，倦怠懒言，自汗盗汗，心悸失眠等症。,中成药>>其他,24个月。,国药准字B20020045,,密封。,,,口服。一次4粒，一日2次，或遵医嘱。,,铝塑板装，每板装10粒。,,,每粒装0.35g。,国家食品药品监督管理局标准(试行)WS-5041(B-0041)-2002,,,1.需在医生指导下用药。2.忌油腻、辛辣。,,,北京王朝保健品厂【企业名称】北京王朝保健品厂【地址】北京市大兴区北臧村镇前管营村【省份/国家】北京,
medicine,63,补虚消渴合剂,BuXuXiaokeheji,天花粉、葛根、麦冬、党参、茯苓、乌梅、黄芪（生黄芪、蜜黄芪）、甘草、五味子、地黄。,益气养阴，生津止渴。用于气阴两虚证糖尿病的辅助治疗，可改善倦怠乏力、气短懒言、口渴喜饮、五心烦热、自汗盗汗等症状。,中成药>>其他,24 个月,国药准字B20020118,,密封，置阴凉处（不超过 20 ℃ ）。,,,口服，一次 10 ml，一日 4 次。,,口服液体药用聚酯瓶，120 ml × 1 瓶。,,,120ml,国家药品监督管理局标准（试行）WS-5109（B-0109)2002,,,本品贮存日久可产生轻微沉淀，服时摇匀。本品请在医生指导下使用。,,,乐泰药业有限公司【企业名称】乐泰药业有限公司,
medicine,64,参灵通络胶囊,CanLingTongLuoJiaoNang,黄芪、人参、灵芝、冬虫夏草、地龙、川芎、当归、鸡血藤、红花、牛膝、桃仁、赤芍、丹参、桂枝、没药。,滋补肝肾，活血通络。用于改善糖尿病并发周围神经病变引起的四肢麻木，疼痛，感觉异常等症。,中成药>>其他,24月,国药准字B20020403,,密封。,,,口服。一次4粒，一日3次，饭后30分钟后服用。,,,,,,,,如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。,在医生指导下使用。2.孕妇慎用。3.有出血倾向者慎用。,,,哈尔滨同一堂药业有限公司【企业名称】哈尔滨同一堂药业有限公司【地址】哈尔滨市利民经济技术开发区兴业东路2号【省份/国家】黑龙江省,
medicine,79,递法明片,DiFaMingPian,越桔果提取物，β-胡萝卜素。,增加静脉张力及起到保护血管的作用。用于糖尿病等引起的视网膜病变。,中成药>>其他,36个月。,Z20040004,,遮光，密封，常温保存。,,少数病例出血胃肠道不适等症。,口服。1次3片，一日2次，一个疗程为3～6个月。,,PVC/VDC铝塑泡罩包装。20片/盒。,,,每片重0.4g（含越桔果提取物100mg、β-胡萝卜素5mg）。,进口药品注册标准JZ20030012,,,1.孕妇需在医生指导下使用。2.请将此药品放在儿童不宜获取的地方。3.如患者感到不适，而在15天内未减轻，应向医师或药剂师报告，如不适的症状加剧，如血管的脆性增加（瘀斑扩散），则应立即报告医师。4.在用药的同时接受其他治疗，应及时向医师报告，以避免发生药物间的相互作用。,,,法国乐康美的澜制药厂【企业名称】法国乐康美的澜制药厂LaboratoiresLeurquinMediolanum【地址】68-84 rue Ampère Z.I.des Chanoux 93330 Neuilly Sur Marne，France【省份/国家】法国【电话】00 33 1 4944 2929【传真】00 33 1 4944 2942,
medicine,80,地骨降糖胶囊,DiGuJiangTangJiaoNang,地骨皮、郁金、水蛭、冬虫夏草、紫苏子、龟甲（制）、地龙。,滋阴润燥，化瘀通络。用于阴虚血瘀所引起的消渴，Ⅱ型糖尿病见上述证候者。,中成药>>其他,1.5年。,国药准字Z20026346,,密封。,,,口服，一次4粒，一日4次。,孕妇忌服，忌食辛辣；有出血倾向者忌用。,,,,每粒装0.3g,,,,糖尿病患者在服药期间要定期检查血糖。,,,金诃藏药股份有限公司【企业名称】金诃藏药股份有限公司【地址】西宁市纬二路22号(青海生物科技产业园)【邮编】810003【省份/国家】青海省【电话】0971-5319800  5319801【传真】0971-5319839【电子邮件】qhzyc@public.xn.qh.cn【主页】www.aruratm.com,
medicine,81,地骨降糖丸,DiGuJiangTangWan,冬虫夏草、水蛭、郁金、地骨皮、紫苏子、龟甲、地龙。,滋阴润燥，化瘀通络。用于用于阴虚血瘀所引起的消渴，2型糖尿病见上述证候者。,中成药>>其他,暂定两年,国药准字Z20090497,孕妇忌服。,密封，在阴凉干燥处（不超过20℃）保存。,,,口服，一日4丸，一日4次。,1.孕妇忌服，忌食辛辣；2.有出血倾向者忌用；3.对本药任何成分过敏者禁用；4.当本药性状发生改变时禁用。,,,,每丸重0.3g,,,如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。,1.孕妇忌服，忌食辛辣；2.有出血倾向者忌用；3.对本药任何成分过敏者禁用；4.当本药性状发生改变时禁用。5.建议患者在治疗期间定期做血糖检查。,,,青海央宗药业有限公司【企业名称】青海央宗药业有限公司【地址】青海省西宁市城北区宁张路35号【省份/国家】青海省【电话】010-64097369,
medicine,126,复方丹参滴丸[药典],FuFangDanShenDiWan,丹参、三七、冰片。,活血化瘀，理气止痛。用于气滞血瘀所致的胸痹，症见胸闷、心前区刺痛；冠心病心绞痛见上述证候者。用于2型糖尿病引起的I期（轻度）、Ⅱ期（中度）非增殖性糖尿病视网膜病变气滞血瘀证所致的视物昏花、面色晦暗、眼底点片状出血，舌质紫暗或有瘀点瘀斑、脉涩或细涩。,中成药>>内科用药>>化瘀明目>>理气活血,48个月,国药准字Z10950111,,密封(10～30℃)。,天士力医药集团股份有限公司【企业名称】天士力医药集团股份有限公司,临床试验和监测数据显示，本品可见以下不良反应：胃肠系统：胃肠道不适、消化不良、嗳气、反酸、呃逆、恶心、呕吐、胀气、胃痛、腹胀、腹泻、腹痛、腹部不适等。皮肤及其附件：皮疹、瘙痒、潮红等皮肤过敏反应。神经系统：头晕、头痛等。心血管系统：心悸、胸闷、血压升高等。其他：乏力、咳嗽、口干、过敏或过敏样反应、尿蛋白、尿红细胞和酮体等。,1.用于冠心病心绞痛：口服或舌下含服。一次10丸，一日3次。28天为一个疗程；或遵医嘱。2.用于非增殖性糖尿病视网膜病变气滞血瘀证的症状改善：口服。一次20丸，一日3次。疗程24周。,对本品及所含成份过敏者禁用。,口服固体药用高密度聚乙烯瓶包装，每瓶装180丸。,,,每丸重27mg,《中国药典》2020年版一部及《国家药品监督管理局药品补充申请批准通知书》（通知书编号：2021B03528）,本品于2009年5月由原国家食品药品监督管理局批准开展糖尿病视网膜病变的临床试验，于2010年5月至2017年7月进行了Ⅱ、Ⅲ期临床试验。临床试验采用多中心、随机、双盲、安慰剂平行对照设计。Ⅱ期临床观察病例数为223例，试验组服用复方丹参滴丸，对照组服用安慰剂，其中试验组高剂量（30丸/次，一日3次）组55例，试验组中剂量（20丸/次，一日3次）组56例，试验组低剂量（10丸/次，一日3次）组56例，安慰剂组56例。Ⅲ期临床观察病例数为484例，其中试验组363例、安慰剂组121例。Ⅲ期临床试验纳入年龄30-70岁诊断为2型糖尿病引起的非增殖期糖尿病视网膜病变辨证属气滞血瘀证，HbAlc≤8.0%，排除了视网膜光凝术后患者、适宜光凝治疗患者、有一眼或两眼为糖尿病视网膜病变增殖期患者、合并其他眼病、肾衰者等。疗程24周。试验组服用复方丹参滴丸，对照组服用安慰剂，服药方法为：每次20丸，一日3次。Ⅲ期临床试验主要有效性结果：基线时，经标准对数视力表检查，受试者左眼矫正视力平均为4.72，右眼矫正视力平均为4.73，糖尿病视网膜病变（DR）病程平均为2.34年，试验组合并黄斑水肿的受试者比例为21.15%，安慰剂组为21.59%。治疗24周后，FAS集分析，视物昏花消失率试验组为20.17%，安慰剂组为5.79%，面色晦暗消失率试验组为28.73%，安慰剂组为11.57%，试验组优于安慰剂组，两组间比较有显著性差异（p＜0.05）。PPS集与FAS集结论一致。安全性研究结果：Ⅱ、Ⅲ期临床试验中，试验组共有707例受试者进入安全性数据集，新发现的不良反应有血压升高、尿蛋白、尿红细胞和酮体。,,1.孕期、哺乳期妇女慎用。2.过敏体质者慎用。3.脾胃虚寒患者慎用。4.如果患者服药后有消化道反应，建议舌下含服或饭后服用，或遵医嘱。5.对于有出血倾向或使用抗凝、抗血小板治疗的患者，应在医生指导下使用本品，并注意监测。6.目前尚无儿童用药的临床证据。7.当使用本品出现不良反应时，应及时就医。,,请仔细阅读说明书并在医师指导下使用,天士力医药集团股份有限公司【企业名称】天士力医药集团股份有限公司,
medicine,127,复方丹芎片,FuFangDanXiongPian,桃仁、红花、丹参、川芎等。,活血化癖。适用于糖尿病视网 膜病变，视网膜静脉阻塞属于 血癖证侯者。,中成药>>其他,二年,,,密封。,,,口服，一次5片，一日3次。,,,,,片芯重0.28g，每瓶装100片。,京药制字Z20053264,,,,,,北京东升制药有限公司【企业名称】北京东升制药有限公司【地址】北京市平谷区兴谷开发区二号区,
medicine,146,甘露消渴胶囊,GanLuXiaoKeJiaoNang,甘露消渴成方熟地黄、地黄、枸杞子、地骨皮、山茱萸、玄参、人参、党参、黄芪、菟丝子、天花粉、当归、黄连、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,暂定 18 个月,国药准字 Z20053108,,密封。,,,口服。一次 4～5 粒，一日 3 次；或遵医嘱。,,药用 PVC 硬片，药品包装用 PTP 铝箔；12 粒 × 3 板盒。,,,每粒装 0.3g,,,,,,,吉林金宝药业股份有限公司【企业名称】吉林金宝药业股份有限公司【地址】梅河口市环城北路6号【省份/国家】吉林省,
medicine,147,甘露消渴胶囊,GanLuXiaoKeJiaoNang,甘露消渴成方熟地黄、地黄、枸杞子、地骨皮、山茱萸、玄参、人参、党参、黄芪、菟丝子、天花粉、当归、黄连、白术、桑螵蛸、天冬、麦冬、泽泻、茯苓。,滋阴补肾，健脾生津。用于非胰岛素依赖型糖尿病。,中成药>>其他,24 个月,国药准字 Z20043370,,密封。,,,口服，一次 4～5 粒，一日 3 次，或遵医嘱。,,铝塑板包装，12 粒 × 2 板盒。,,,每粒装 0.3g,,,,,,,吉林高邈药业股份有限公司【企业名称】吉林高邈药业股份有限公司,
