日期,单位净值
20011218,1.0000
20011221,1.0000
20011228,1.0000
20011231,1.0000
20020104,1.0000
20020111,1.0010
20020118,1.0000
20020125,1.0050
20020130,1.0020
20020131,1.0100
20020201,1.0090
20020204,1.0110
20020205,1.0120
20020206,1.0090
20020207,1.0120
20020208,1.0120
20020225,1.0140
20020226,1.0150
20020227,1.0150
20020228,1.0130
20020301,1.0110
20020304,1.0130
20020305,1.0190
20020306,1.0200
20020307,1.0260
20020308,1.0310
20020311,1.0360
20020312,1.0300
20020313,1.0250
20020314,1.0340
20020315,1.0250
20020318,1.0270
20020319,1.0350
20020320,1.0390
20020321,1.0400
20020322,1.0360
20020325,1.0360
20020326,1.0300
20020327,1.0320
20020328,1.0320
20020329,1.0230
20020331,1.0230
20020401,1.0240
20020402,1.0190
20020403,1.0200
20020404,1.0300
20020405,1.0290
20020408,1.0290
20020409,1.0410
20020410,1.0450
20020411,1.0400
20020412,1.0420
20020415,1.0410
20020416,1.0400
20020417,1.0420
20020418,1.0370
20020419,1.0390
20020422,1.0370
20020423,1.0360
20020424,1.0310
20020425,1.0330
20020426,1.0380
20020429,1.0450
20020430,1.0460
20020508,1.0430
20020509,1.0430
20020510,1.0420
20020513,1.0370
20020514,1.0370
20020515,1.0340
20020516,1.0250
20020517,1.0310
20020520,1.0250
20020521,1.0360
20020522,1.0330
20020523,1.0350
20020524,1.0330
20020527,1.0360
20020528,1.0370
20020529,1.0290
20020530,1.0300
20020531,1.0270
20020603,1.0180
20020604,1.0200
20020605,1.0120
20020606,1.0310
20020607,1.0330
20020610,1.0300
20020611,1.0330
20020612,1.0300
20020613,1.0240
20020614,1.0180
20020617,1.0180
20020618,1.0280
20020619,1.0220
20020620,1.0250
20020621,1.0420
20020624,1.0860
20020625,1.0870
20020626,1.0650
20020627,1.0650
20020628,1.0730
20020630,1.0730
20020701,1.0700
20020702,1.0720
20020703,1.0720
20020704,1.0670
20020705,1.0690
20020708,1.0720
20020709,1.0710
20020710,1.0630
20020711,1.0620
20020712,1.0630
20020715,1.0590
20020716,1.0580
20020717,1.0590
20020718,1.0610
20020719,1.0630
20020722,1.0550
20020723,1.0530
20020724,1.0520
20020725,1.0490
20020726,1.0490
20020729,1.0510
20020730,1.0510
20020731,1.0450
20020801,1.0470
20020802,1.0480
20020805,1.0460
20020806,1.0500
20020807,1.0500
20020808,1.0470
20020809,1.0430
20020812,1.0380
20020813,1.0380
20020814,1.0430
20020815,1.0400
20020816,1.0420
20020819,1.0420
20020820,1.0510
20020821,1.0520
20020822,1.0580
20020823,1.0560
20020826,1.0520
20020827,1.0560
20020828,1.0540
20020829,1.0500
20020830,1.0500
20020902,1.0510
